ID;station
1;1 Ave & E 18 St
2;1 Ave & E 39 St
3;1 Ave & E 6 St
4;1 Ave & E 68 St
5;10 Ave & W 14 St
6;11 Ave & W 27 St
7;11 Ave & W 59 St
8;3 Ave & E 62 St
9;31 Ave & 34 St
10;4 Ave & E 12 St
11;5 Ave & E 103 St
12;5 Ave & E 87 St
13;8 Ave & W 16 St
14;8 Ave & W 24 St
15;8 Ave & W 27 St
16;8 Ave & W 31 St
17;8 Ave & W 49 St
18;9 Ave & W 18 St
19;9 Ave & W 45 St
20;Adelphi St & Myrtle Ave
21;Albany St & Greenwich St
22;Allen St & Stanton St
23;Amsterdam Ave & W 73 St
24;Ave A & E 11 St
25;Ave A & E 14 St
26;Bank St & Hudson St
27;Bayard St & Leonard St
28;Bergen St & 4 Ave
29;Bergen St & Smith St
30;Broadway & E 21 St
31;Broadway & W 142 St
32;Broadway & W 25 St
33;Broadway & W 56 St
34;Brooklyn Bridge Park - Pier 2
35;Cathedral Pkwy & Broadway
36;Centre St & Chambers St
37;Cleveland Pl & Spring St
38;Clinton St & Grand St
39;Columbus Ave & W 95 St
40;Congress St & Clinton St
41;Cooper Square & Astor Pl
42;DeKalb Ave & Franklin Ave
43;DeKalb Ave & Hudson Ave
44;Driggs Ave & Lorimer St
45;Driggs Ave & N 9 St
46;E 1 St & 1 Ave
47;E 1 St & Bowery
48;E 103 St & Lexington Ave
49;E 11 St & 1 Ave
50;E 12 St & Ave C
51;E 16 St & Irving Pl
52;E 25 St & 2 Ave
53;E 27 St & Park Ave S
54;E 51 St & 1 Ave
55;E 55 St & 2 Ave
56;E 74 St & 1 Ave
57;E 95 St & 3 Ave
58;E Fordham Rd & Webster Ave
59;Forsyth St & Grand St
60;Fulton St & Clermont Ave
61;Grand St & Elizabeth St
62;Harrison St & Hudson St
63;Hudson St & W 13 St
64;LaGuardia Pl & W 3 St
65;Lenox Ave & W 111 St
66;MacDougal St & Washington Sq
67;Metropolitan Ave & Meeker Ave
68;Mott St & Prince St
69;North Moore St & Greenwich St
70;Old Fulton St
71;Orchard St & Grand St
72;Park Ave & E 124 St
73;Perry St & Greenwich Ave
74;Rivington St & Chrystie St
75;Rivington St & Ridge St
76;S 3 St & Bedford Ave
77;S 4 St & Wythe Ave
78;Stanton St & Chrystie St
79;Stanton St & Norfolk St
80;Suffolk St & Stanton St
81;Union Ave & N 12 St
82;W 20 St & 10 Ave
83;W 29 St & 9 Ave
84;W 31 St & 7 Ave
85;W 36 St & 9 Ave
86;W 37 St & 10 Ave
87;W 42 St & 8 Ave
88;W 45 St & 8 Ave
89;W 46 St & 11 Ave
90;W 47 St & 9 Ave
91;W 56 St & 10 Ave
92;W 70 St & Amsterdam Ave
93;W 76 St & Columbus Ave
94;W 87 St & West End Ave
95;Walker St & Baxter St
96;Washington Pl & 6 Ave
97;Washington Square E
98;Washington St & Gansevoort St
99;West St & Liberty St
100;William St & Pine St